,Males,Females,Diff
E07000191,17100,18400,-0.036619718
E07000064,44900,48100,-0.034408602
E07000224,74900,78700,-0.024739583
E07000040,66200,69500,-0.024318349
E07000225,57000,59800,-0.023972603
E07000052,49600,51900,-0.022660099
E07000048,24000,25100,-0.022403259
E07000076,69500,72600,-0.021815623
E07000061,50000,52200,-0.021526419
E08000011,73600,76600,-0.019973369
E07000049,43800,45500,-0.019036954
E07000091,89200,92600,-0.01870187
E07000163,27900,28900,-0.017605634
E08000014,138300,143100,-0.017057569
E07000044,42000,43400,-0.016393443
E06000027,66200,68300,-0.015613383
E07000106,76400,78800,-0.015463918
E07000246,73300,75500,-0.014784946
E07000065,75400,77600,-0.014379085
E07000079,42000,43100,-0.012925969
E07000223,31200,32000,-0.012658228
E07000045,63100,64700,-0.012519562
E07000235,37800,38700,-0.011764706
E07000147,51400,52600,-0.011538462
E08000015,162800,166600,-0.011536126
E07000121,70300,71900,-0.011251758
E09000016,120800,123500,-0.011051985
E07000128,54700,55900,-0.01084991
E07000114,68500,70000,-0.010830325
E07000068,37500,38300,-0.01055409
E07000229,53400,54500,-0.010194625
W06000003,58700,59900,-0.010118044
E07000063,49600,50600,-0.00998004
E07000168,55200,56300,-0.009865471
E07000141,68300,69600,-0.009427121
E09000006,158500,161400,-0.009065333
E07000119,38700,39400,-0.008962868
E07000135,28700,29200,-0.008635579
E06000052,271200,275800,-0.008409506
E07000190,56200,57100,-0.007943513
E08000023,75500,76700,-0.007884363
E08000022,102700,104300,-0.007729469
E07000098,51500,52300,-0.007707129
E07000031,52600,53400,-0.00754717
E09000004,119000,120800,-0.007506255
E07000221,61400,62300,-0.007275667
E07000006,34200,34700,-0.007256894
E07000206,59100,59700,-0.005050505
E07000137,69500,70200,-0.005010737
E07000227,67400,68000,-0.004431315
E07000127,56600,57100,-0.004397537
E06000046,70700,71300,-0.004225352
E07000085,59200,59700,-0.004205214
E07000094,59700,60200,-0.004170142
E07000041,60400,60900,-0.004122012
E07000090,61800,62300,-0.004029009
E08000029,106100,106900,-0.003755869
E07000244,122900,123800,-0.003648156
E07000215,42600,42900,-0.003508772
E06000014,101600,102300,-0.003433055
E07000005,47600,47900,-0.003141361
E07000144,63800,64200,-0.003125
E07000072,64100,64500,-0.00311042
E07000046,32500,32700,-0.003067485
E06000059,186900,188000,-0.002934116
E06000024,104100,104700,-0.002873563
E06000003,69500,69900,-0.00286944
E07000208,38700,38900,-0.00257732
E07000205,63800,64100,-0.002345582
E07000069,45000,45200,-0.002217295
E08000024,141300,141900,-0.002118644
E06000057,162000,162600,-0.001848429
E07000047,27500,27600,-0.001814882
W06000014,65000,65200,-0.001536098
E07000075,42700,42800,-0.001169591
E06000011,171400,171800,-0.001165501
E07000066,90000,90200,-0.001109878
E07000102,45200,45300,-0.001104972
E07000140,45400,45500,-0.00110011
E07000043,48200,48300,-0.001036269
E07000165,81200,81300,-0.000615385
E06000050,169400,169600,-0.000589971
E07000051,23200,23200,0
E07000080,42000,42000,0
E07000149,63800,63800,0
E07000187,56200,56200,0
E07000212,41500,41500,0
E09000010,162600,162400,0.000615385
E07000146,75800,75700,0.000660066
W06000012,71900,71800,0.000695894
E07000207,68000,67900,0.000735835
W06000009,63200,63100,0.000791766
E07000078,59900,59800,0.000835422
E07000173,58500,58400,0.000855432
E07000142,45700,45600,0.00109529
E07000210,44000,43900,0.001137656
E07000083,42200,42100,0.00118624
E09000032,159300,158900,0.001257071
E07000136,33400,33300,0.00149925
E06000022,90700,90400,0.001656543
E07000238,59900,59700,0.001672241
E07000111,59500,59300,0.001683502
E07000139,55600,55400,0.001801802
E07000167,26800,26700,0.001869159
E07000095,48400,48200,0.002070393
E06000001,47600,47400,0.002105263
W06000010,95000,94600,0.002109705
E07000216,63100,62800,0.002382844
E07000189,83200,82800,0.002409639
E07000105,61100,60800,0.002461034
E09000029,98600,98100,0.002541942
E07000087,57400,57100,0.002620087
E06000029,76400,76000,0.002624672
E09000003,185500,184500,0.002702703
W06000020,47200,46900,0.003188098
E07000188,59200,58800,0.003389831
E07000028,55700,55300,0.003603604
E07000038,50900,50500,0.003944773
E07000093,60300,59800,0.004163197
W06000021,47000,46600,0.004273504
E07000108,57700,57200,0.00435161
E07000200,45200,44800,0.004444444
E07000034,53700,53200,0.004677268
E07000073,42800,42400,0.004694836
E06000049,191500,189700,0.004721931
E09000013,94700,93800,0.004774536
E07000228,72500,71800,0.004851005
W06000024,30500,30200,0.004942339
E07000042,40100,39700,0.005012531
E06000047,265600,262900,0.005108798
E07000124,29400,29100,0.005128205
E08000007,146900,145400,0.005131714
E07000138,48500,48000,0.005181347
E07000126,56500,55900,0.005338078
E07000062,46900,46400,0.005359057
E07000112,55800,55200,0.005405405
E07000196,55600,55000,0.005424955
E06000005,54900,54300,0.005494505
E07000132,54300,53700,0.005555556
E09000008,190000,187900,0.005557026
W06000001,36000,35600,0.005586592
E07000198,50200,49600,0.006012024
E07000036,58100,57400,0.006060606
E07000010,49300,48700,0.006122449
E09000007,114100,112700,0.00617284
E07000211,71700,70800,0.006315789
E07000115,62700,61900,0.006420546
W06000016,121800,120200,0.00661157
E06000012,83100,82000,0.006662629
E07000035,36600,36100,0.006877579
E07000032,63400,62500,0.007148531
E09000021,83500,82300,0.007237636
W06000004,48700,48000,0.007238883
E08000037,103800,102300,0.00727802
E06000009,73700,72600,0.007518797
E08000033,106000,104400,0.007604563
E07000164,46100,45400,0.007650273
E07000082,58400,57500,0.007765315
E07000176,57500,56600,0.007887818
W06000002,63300,62300,0.007961783
E06000019,94900,93400,0.007966012
W06000023,68800,67700,0.008058608
E07000026,49900,49100,0.008080808
E07000169,43500,42800,0.00811124
E07000234,48600,47800,0.008298755
E08000013,91100,89600,0.008301051
E07000174,54500,53600,0.008325624
W06000019,36100,35500,0.008379888
E07000116,59900,58900,0.008417508
E08000035,391500,384900,0.008500773
E07000086,65100,64000,0.008520527
E06000033,90800,89200,0.008888889
E08000036,169400,166400,0.008933889
E07000239,50800,49900,0.008937438
E08000009,118200,116100,0.008962868
E07000145,50500,49600,0.008991009
E07000099,66400,65200,0.009118541
E07000242,71500,70200,0.009174312
E06000006,65700,64500,0.00921659
E07000181,54500,53500,0.009259259
E07000129,48900,48000,0.009287926
